package-registry_1  | 2021/09/08 14:07:34 Package registry started.
package-registry_1  | 2021/09/08 14:07:34 google_workspace    	     0.2.0	/packages/production/google_workspace/0.2.0
package-registry_1  | 2021/09/08 14:07:34 google_workspace    	     0.2.2	/packages/production/google_workspace/0.2.2
package-registry_1  | 2021/09/08 14:07:34 google_workspace    	     0.2.4	/packages/production/google_workspace/0.2.4
package-registry_1  | 2021/09/08 14:07:34 google_workspace    	     0.6.0	/packages/production/google_workspace/0.6.0
package-registry_1  | 2021/09/08 14:07:34 haproxy             	     0.1.2	/packages/production/haproxy/0.1.2
package-registry_1  | 2021/09/08 14:07:34 haproxy             	     0.1.3	/packages/production/haproxy/0.1.3
package-registry_1  | 2021/09/08 14:07:34 haproxy             	     0.2.4	/packages/production/haproxy/0.2.4
package-registry_1  | 2021/09/08 14:07:34 haproxy             	     0.2.6	/packages/production/haproxy/0.2.6
package-registry_1  | 2021/09/08 14:07:34 haproxy             	     0.4.0	/packages/production/haproxy/0.4.0
package-registry_1  | 2021/09/08 14:07:34 hashicorp_vault     	     0.0.1	/packages/production/hashicorp_vault/0.0.1
package-registry_1  | 2021/09/08 14:07:34 iis                 	     0.1.2	/packages/production/iis/0.1.2
package-registry_1  | 2021/09/08 14:07:34 iis                 	     0.1.3	/packages/production/iis/0.1.3
package-registry_1  | 2021/09/08 14:07:34 iis                 	     0.2.5	/packages/production/iis/0.2.5
package-registry_1  | 2021/09/08 14:07:34 iis                 	     0.2.7	/packages/production/iis/0.2.7
package-registry_1  | 2021/09/08 14:07:34 iis                 	     0.5.0	/packages/production/iis/0.5.0
package-registry_1  | 2021/09/08 14:07:34 imperva             	     0.1.0	/packages/production/imperva/0.1.0
package-registry_1  | 2021/09/08 14:07:34 imperva             	     0.1.2	/packages/production/imperva/0.1.2
package-registry_1  | 2021/09/08 14:07:34 imperva             	     0.1.3	/packages/production/imperva/0.1.3
package-registry_1  | 2021/09/08 14:07:34 imperva             	     0.1.4	/packages/production/imperva/0.1.4
package-registry_1  | 2021/09/08 14:07:34 imperva             	     0.3.0	/packages/production/imperva/0.3.0
package-registry_1  | 2021/09/08 14:07:34 infoblox            	     0.1.0	/packages/production/infoblox/0.1.0
package-registry_1  | 2021/09/08 14:07:34 infoblox            	     0.1.2	/packages/production/infoblox/0.1.2
package-registry_1  | 2021/09/08 14:07:34 infoblox            	     0.1.3	/packages/production/infoblox/0.1.3
package-registry_1  | 2021/09/08 14:07:34 infoblox            	     0.1.4	/packages/production/infoblox/0.1.4
package-registry_1  | 2021/09/08 14:07:34 infoblox            	     0.3.0	/packages/production/infoblox/0.3.0
package-registry_1  | 2021/09/08 14:07:34 iptables            	     0.0.2	/packages/production/iptables/0.0.2
package-registry_1  | 2021/09/08 14:07:34 iptables            	     0.1.0	/packages/production/iptables/0.1.0
package-registry_1  | 2021/09/08 14:07:34 iptables            	     0.3.0	/packages/production/iptables/0.3.0
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.1.0	/packages/production/juniper/0.1.0
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.4.0	/packages/production/juniper/0.4.0
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.4.1	/packages/production/juniper/0.4.1
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.4.2	/packages/production/juniper/0.4.2
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.4.5	/packages/production/juniper/0.4.5
